No.,チャンネル,動画番号,動画ID,台本番号,タイトル,進捗,作成フラグ,台本,品質チェック結果,文字数,更新日時,サムネタイトル上,サムネタイトル下,サムネ画像プロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,DALL-Eプロンプト（URL・テキスト指示込み）,台本本文（冒頭サンプル）,音声整形,音声検証,音声生成,音声品質,納品,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,内容,動画内挿絵AI向けプロンプト（10個）,内容（企画要約）,台本パス,GPT用プロンプト（日本人シニア女性）,台本本文,GPT用プロンプト（日本人シニア女性）_1,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること,タイトル_サニタイズ
1,CH06,1,CH06-001,CH06-001,【禁断の福音書】トマス福音書が暴く「キリスト教の裏面史」,script_validated,,workspaces/scripts/CH06/001/content/assembled.md,✅完了,9234,,バチカンが隠蔽,禁断の福音書,ベンチマークで実績のある「宗教ミステリー」「陰謀論」を組み合わせ、初期のヒットを狙う。チャンネルの世界観を象徴する一本。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, an ancient, dusty library vault, a single mysterious book bound in leather glowing with a faint blue light on a stone pedestal, dramatic lighting, deep shadows, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/001/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【禁断の福音書】トマス福音書が暴く「キリスト教の裏面史」
2,CH06,2,CH06-002,CH06-002,【オーパーツ地図】ピリ・レイスの地図に描かれた「南極」,script_validated,,workspaces/scripts/CH06/002/content/assembled.md,✅完了,7926,,氷の下に眠る,失われた大陸,ベンチマークで再生数の多い「南極」「古代地図」テーマを融合。壮大なロマンで知的好奇心を刺激する。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a massive, ancient world map made of weathered parchment, glowing with faint blue lines over the continent of Antarctica which is shown without ice, revealing mountains and rivers, suspended in a dark library, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/002/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【オーパーツ地図】ピリ・レイスの地図に描かれた「南極」
3,CH06,3,CH06-003,CH06-003,【人類の起源】生命は宇宙から来たのか―パンスペルミア説,script_validated,,workspaces/scripts/CH06/003/content/assembled.md,✅完了,7986,,進化論の嘘,宇宙から来た生命,「人類の起源」という普遍的で壮大なテーマを扱う。科学とミステリーを融合させ、知的な視聴者層に訴求。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a glowing strand of DNA helix floating in the vastness of space, stars and nebulae in the background, a single meteor streaking towards the DNA, dramatic lighting, deep blue and purple colors, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/003/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【人類の起源】生命は宇宙から来たのか―パンスペルミア説
4,CH06,4,CH06-004,CH06-004,【本能寺の空白】信長は死んでいない―遺体なき真実,script_validated,,workspaces/scripts/CH06/004/content/assembled.md,✅完了,8111,,信長は生きていた,イエズス会の陰謀,日本史の中でも特に人気の高い「本能寺の変」をテーマに、陰謀論を絡めて解説。歴史好きに確実に響く鉄板企画。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a dark, shadowy Japanese temple room (Honno-ji), illuminated by fire from outside, a single samurai sword (katana) stuck in the tatami floor, a mysterious cross symbol faintly glowing on the wall, dramatic lighting, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/004/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【本能寺の空白】信長は死んでいない―遺体なき真実
5,CH06,5,CH06-005,CH06-005,【20億年前の原子炉】オクロ天然原子炉は偶然か―設計か,投稿済み,,workspaces/scripts/CH06/005/content/assembled.md,,7960,2025-12-17T00:16:27.377381Z,,,,,,,,,済,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,投稿済み 2025-12-17,,,,,,,,workspaces/scripts/CH06/005/content/assembled.md,,,,,,,,,,,,【20億年前の原子炉】オクロ天然原子炉は偶然か―設計か
6,CH06,6,CH06-006,CH06-006,【国家機密】消えた駆逐艦―フィラデルフィア実験,,,workspaces/scripts/CH06/006/content/assembled.md,,8118,,,,,,,,,,,,,,,,,,,,,,workspaces/scripts/CH06/006/content/assembled.md,,,,,,,,,,,,【国家機密】消えた駆逐艦―フィラデルフィア実験
7,CH06,7,CH06-007,CH06-007,【焼失した知の王国】アレクサンドリア図書館の「禁書」,,,workspaces/scripts/CH06/007/content/assembled.md,,8020,,,,,,,,,,,,,,,,,,,,,,workspaces/scripts/CH06/007/content/assembled.md,,,,,,,,,,,,【焼失した知の王国】アレクサンドリア図書館の「禁書」
8,CH06,8,CH06-008,CH06-008,【人類最期の発明】シンギュラリティ―AIが支配者になる日,script_validated,,workspaces/scripts/CH06/008/content/assembled.md,✅完了,5758,,人類最期の発明,AIが神になる日,ベンチマークで実績のある「オーパーツ」の中でも特にインパクトの強い「オクロの原子炉」を深掘り。科学的根拠とミステリーを両立。,現代社会最大のタブー、AIの進化と人類の終焉を描く,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a vast, dark underground cavern, a mysterious, ancient reactor core glowing with an eerie blue light, strange geometric patterns carved into the rock walls, dramatic lighting from above, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/008/content/assembled.md,,,,AIの脅威,シンギュラリティ,深夜のPC,ロコのバジリスク,裏付け付きで語れる都市伝説になる,封印された文書,「人類が最後に発明するものは、AIである」,【人類最期の発明】シンギュラリティ―AIが支配者になる日,
・ラプラスの魔と監視社会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"・ロコのバジリスクの戦慄""",【人類最期の発明】シンギュラリティ―AIが支配者になる日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
